Date,Open,High,Low,Close,Adj Close,Volume
2013-11-05,9.120000,9.230000,9.070000,9.090000,5.806579,577200
2013-11-06,9.100000,9.120000,9.050000,9.120000,5.825743,431200
2013-11-07,9.200000,9.280000,9.000000,9.080000,5.800191,567600
2013-11-08,9.000000,9.040000,8.970000,9.040000,5.774640,803100
2013-11-11,8.840000,8.840000,8.800000,8.820000,5.634107,437800
2013-11-12,8.890000,8.900000,8.800000,8.840000,5.646883,419600
2013-11-13,8.680000,8.750000,8.640000,8.750000,5.589391,325400
2013-11-14,8.910000,8.980000,8.890000,8.960000,5.723537,1365100
2013-11-15,9.000000,9.070000,8.980000,9.050000,5.781028,459600
2013-11-18,9.200000,9.250000,9.140000,9.180000,5.864070,1591800
2013-11-19,9.070000,9.130000,9.020000,9.030000,5.768252,493200
2013-11-20,9.140000,9.170000,9.010000,9.050000,5.781028,373600
2013-11-21,8.980000,9.070000,8.950000,9.030000,5.768252,1262500
2013-11-22,9.100000,9.100000,9.040000,9.100000,5.812967,1344500
2013-11-25,8.950000,8.950000,8.870000,8.890000,5.678823,2089600
2013-11-26,8.660000,8.720000,8.620000,8.710000,5.563841,2182100
2013-11-27,8.550000,8.620000,8.520000,8.610000,5.499962,411800
2013-11-29,8.590000,8.680000,8.520000,8.670000,5.538288,256400
2013-12-02,8.520000,8.530000,8.400000,8.410000,5.372204,628400
2013-12-03,8.340000,8.370000,8.280000,8.340000,5.327488,716200
2013-12-04,8.180000,8.300000,8.150000,8.280000,5.289161,787100
2013-12-05,8.190000,8.220000,8.150000,8.180000,5.225283,914800
2013-12-06,8.370000,8.370000,8.300000,8.330000,5.321101,442800
2013-12-09,8.420000,8.470000,8.380000,8.400000,5.365816,529700
2013-12-10,8.370000,8.400000,8.300000,8.380000,5.353040,265700
2013-12-11,8.370000,8.370000,8.190000,8.200000,5.238059,459100
2013-12-12,8.150000,8.190000,8.140000,8.150000,5.206119,558200
2013-12-13,8.070000,8.110000,8.040000,8.090000,5.167793,458200
2013-12-16,8.250000,8.300000,8.090000,8.230000,5.257222,628000
2013-12-17,8.380000,8.390000,8.300000,8.340000,5.327488,491500
2013-12-18,8.460000,8.610000,8.430000,8.590000,5.487186,471700
2013-12-19,8.520000,8.550000,8.470000,8.490000,5.423307,498900
2013-12-20,8.530000,8.660000,8.520000,8.540000,5.455246,846100
2013-12-23,8.630000,8.700000,8.620000,8.640000,5.519125,455700
2013-12-24,8.670000,8.690000,8.560000,8.690000,5.551064,232400
2013-12-26,8.700000,8.700000,8.550000,8.550000,5.461634,276400
2013-12-27,8.520000,8.580000,8.480000,8.510000,5.436082,317300
2013-12-30,8.410000,8.500000,8.390000,8.480000,5.416919,238600
2013-12-31,8.590000,8.650000,8.470000,8.650000,5.525513,333500
2014-01-02,8.600000,8.600000,8.290000,8.290000,5.295549,368500
2014-01-03,8.310000,8.350000,8.250000,8.280000,5.289161,505500
2014-01-06,8.160000,8.160000,8.080000,8.140000,5.199731,865900
2014-01-07,8.210000,8.290000,8.200000,8.280000,5.289161,972500
2014-01-08,8.250000,8.310000,8.250000,8.290000,5.295549,568700
