Date,Open,High,Low,Close,Adj Close,Volume
2013-11-05,59.639999,59.759998,59.290001,59.570000,45.557110,1652000
2013-11-06,60.169998,60.470001,59.950001,60.320000,46.130692,1458300
2013-11-07,59.830002,59.849998,58.970001,59.000000,45.121197,1155500
2013-11-08,58.250000,58.869999,58.150002,58.869999,45.021778,1468900
2013-11-11,59.060001,59.220001,58.910000,59.049999,45.159431,778700
2013-11-12,59.060001,59.200001,58.730000,58.730000,44.914715,1184700
2013-11-13,58.630001,59.369999,58.509998,59.279999,45.335339,369500
2013-11-14,59.110001,59.599998,59.040001,59.480000,45.488285,697800
2013-11-15,59.709999,59.950001,59.490002,59.910000,45.817139,850400
2013-11-18,60.389999,60.570000,59.880001,59.880001,45.794197,703100
2013-11-19,59.849998,59.950001,59.520000,59.660000,45.625946,731300
2013-11-20,59.779999,60.169998,59.360001,59.509998,45.511227,579500
2013-11-21,59.689999,60.130001,59.610001,59.959999,45.855366,575400
2013-11-22,60.330002,60.900002,60.270000,60.650002,46.383060,709600
2013-11-25,60.490002,60.520000,60.209999,60.430000,46.214817,514100
2013-11-26,60.660000,60.700001,60.200001,60.389999,46.184235,647900
2013-11-27,60.939999,61.009998,60.419998,60.610001,46.352470,541700
2013-11-29,60.310001,60.740002,60.230000,60.320000,46.130692,624100
2013-12-02,60.049999,60.500000,60.000000,60.029999,45.908905,537800
2013-12-03,59.660000,59.770000,59.250000,59.400002,45.427113,1046400
2013-12-04,58.310001,58.860001,58.209999,58.840000,44.998833,1032100
2013-12-05,58.570000,58.900002,58.150002,58.470001,44.715870,1157500
2013-12-06,58.759998,59.180000,58.520000,59.180000,45.258858,869100
2013-12-09,58.980000,59.020000,57.840000,58.259998,44.555275,3609300
2013-12-10,58.250000,58.419998,58.000000,58.419998,44.677628,1592700
2013-12-11,57.709999,57.770000,56.750000,57.009998,44.208961,1297700
2013-12-12,56.910000,56.970001,56.389999,56.590000,43.883270,1048800
2013-12-13,56.580002,56.639999,56.169998,56.529999,43.836731,825400
2013-12-16,57.660000,58.080002,57.509998,57.509998,44.596691,1182800
2013-12-17,57.700001,57.849998,57.459999,57.599998,44.666481,810300
2013-12-18,58.070000,58.910000,57.900002,58.700001,45.519493,1228200
2013-12-19,58.680000,59.160000,58.630001,58.970001,45.728859,917200
2013-12-20,59.220001,59.790001,59.169998,59.540001,46.170872,874900
2013-12-23,60.119999,60.369999,59.959999,60.029999,46.550842,1158600
2013-12-24,60.230000,60.240002,60.009998,60.209999,46.690430,248500
2013-12-26,60.160000,60.500000,60.160000,60.279999,46.744724,389900
2013-12-27,61.340000,61.500000,61.070000,61.279999,47.520176,1416700
2013-12-30,61.330002,61.439999,60.939999,61.130001,47.403854,639000
2013-12-31,61.139999,61.430000,61.110001,61.270000,47.512413,454700
2014-01-02,60.110001,60.139999,59.570000,60.070000,46.581863,997000
2014-01-03,59.869999,59.939999,59.380001,59.610001,46.225159,1044200
2014-01-06,59.759998,59.790001,59.209999,59.430000,46.085567,648700
2014-01-07,59.509998,59.930000,59.430000,59.599998,46.217400,521300
2014-01-08,59.009998,59.290001,58.860001,58.950001,45.713348,945100
2014-01-09,59.209999,59.330002,58.669998,58.910000,45.682331,834200
2014-01-10,59.580002,59.720001,59.400002,59.490002,46.132099,687000
2014-01-13,58.799999,59.029999,58.279999,58.560001,45.410919,998600
2014-01-14,58.880001,59.779999,58.650002,59.580002,46.201893,1049700
2014-01-15,59.150002,59.730000,59.090000,59.580002,46.201893,842300
2014-01-16,59.520000,59.580002,59.130001,59.560001,46.186378,531900
2014-01-17,59.680000,59.939999,59.270000,59.369999,46.039047,837700
2014-01-21,60.459999,60.490002,59.660000,59.990002,46.519836,847800
2014-01-22,60.279999,60.419998,59.959999,60.130001,46.628391,910900
2014-01-23,60.310001,60.320000,59.680000,60.080002,46.589622,1446200
2014-01-24,59.459999,59.480000,58.320000,58.320000,45.224815,973300
2014-01-27,58.080002,58.250000,57.630001,57.730000,44.767288,1781800
2014-01-28,58.169998,58.549999,58.020000,58.430000,45.310112,1131600
2014-01-29,57.389999,58.180000,57.250000,57.759998,44.790554,894500
2014-01-30,58.459999,58.490002,57.860001,58.320000,45.224815,1132300
2014-01-31,56.560001,57.330002,56.500000,57.169998,44.333031,1041200
2014-02-03,57.110001,57.250000,56.040001,56.200001,43.580833,914300
2014-02-04,56.220001,56.610001,56.029999,56.590000,43.883270,2396000
2014-02-05,56.610001,56.889999,56.520000,56.750000,44.007343,908000
2014-02-06,57.570000,58.290001,57.500000,57.860001,44.868107,836200
2014-02-07,58.000000,59.070000,57.910000,58.910000,45.682331,1988700
2014-02-10,58.759998,58.770000,58.419998,58.430000,45.310112,772300
2014-02-11,58.599998,59.590000,58.529999,59.150002,45.868446,684000
2014-02-12,59.299999,59.990002,59.240002,59.889999,46.442287,1911500
2014-02-13,59.939999,60.419998,59.889999,60.200001,46.682674,2329800
2014-02-14,60.570000,61.160000,60.490002,61.029999,47.326305,1382300
2014-02-18,61.090000,61.150002,60.740002,60.869999,47.202232,737800
2014-02-19,61.049999,61.320000,60.779999,60.910000,47.233253,813000
2014-02-20,61.410000,61.610001,61.169998,61.419998,47.628742,710600
2014-02-21,62.430000,62.650002,62.259998,62.270000,48.287872,1135000
2014-02-24,62.939999,63.590000,62.869999,63.150002,48.970284,1047600
2014-02-25,63.340000,63.820000,63.060001,63.299999,49.086605,1046500
2014-02-26,63.680000,63.770000,63.299999,63.419998,49.179657,1534700
2014-02-27,63.389999,63.650002,63.240002,63.540001,49.272713,1200300
2014-02-28,64.480003,64.970001,64.330002,64.900002,50.327339,2973300
2014-03-03,64.070000,64.309998,63.220001,63.520000,49.257202,1020400
2014-03-04,64.690002,64.739998,64.019997,64.019997,49.644928,996500
2014-03-05,64.050003,64.629997,63.990002,64.570000,50.071430,1321300
2014-03-06,64.690002,65.279999,64.680000,64.919998,50.342854,3445100
2014-03-07,65.070000,65.129997,64.000000,64.529999,50.040417,739800
2014-03-10,64.480003,64.610001,63.930000,64.510002,50.024910,654400
2014-03-11,64.610001,64.910004,63.959999,63.959999,49.598404,788800
2014-03-12,63.660000,64.510002,63.529999,64.180000,49.769012,1546800
2014-03-13,64.849998,64.849998,63.000000,63.000000,48.853970,1393800
2014-03-14,63.430000,64.250000,63.330002,63.740002,49.427814,1062900
2014-03-17,64.599998,64.970001,64.470001,64.699997,50.172241,1110600
2014-03-18,65.510002,66.230003,65.209999,65.730003,50.970978,1002000
2014-03-19,65.480003,65.620003,63.869999,64.279999,50.468765,885600
2014-03-20,63.360001,64.330002,63.349998,63.770000,50.068340,1039100
2014-03-21,63.869999,64.760002,63.790001,63.840000,50.123306,1342800
2014-03-24,64.730003,64.739998,63.669998,64.120003,50.343136,1431900
2014-03-25,64.389999,64.910004,64.029999,64.779999,50.861328,1266600
2014-03-26,65.309998,65.540001,65.080002,65.129997,51.136120,663700
2014-03-27,65.419998,65.959999,65.339996,65.489998,51.418777,624700
2014-03-28,65.919998,66.110001,65.709999,65.980003,51.803505,570900
2014-03-31,66.050003,66.300003,65.419998,65.599998,51.505142,621800
2014-04-01,65.980003,66.169998,65.849998,66.000000,51.819195,554300
2014-04-02,66.029999,66.139999,65.669998,65.800003,51.662170,512900
2014-04-03,66.010002,66.139999,65.720001,65.809998,51.670021,1062000
2014-04-04,66.519997,66.750000,66.169998,66.260002,52.023335,591200
2014-04-07,66.220001,66.339996,65.459999,65.589996,51.497288,648500
2014-04-08,66.080002,66.639999,65.879997,66.529999,52.235329,715200
2014-04-09,67.379997,67.559998,67.050003,67.250000,52.800625,1126400
2014-04-10,66.870003,67.000000,65.800003,65.980003,51.803505,739700
2014-04-11,66.019997,66.639999,65.760002,66.209999,51.984081,574100
2014-04-14,67.160004,68.029999,67.129997,67.730003,53.177486,735000
2014-04-15,68.309998,68.309998,67.110001,67.739998,53.185341,845000
2014-04-16,67.949997,68.000000,67.419998,67.769997,53.208908,572000
2014-04-17,67.849998,68.370003,67.800003,68.080002,53.452286,1534600
2014-04-21,68.269997,68.370003,68.110001,68.230003,53.570072,342100
2014-04-22,68.470001,68.650002,68.349998,68.650002,53.899815,977400
2014-04-23,68.580002,68.650002,67.720001,67.989998,53.381622,811000
2014-04-24,68.720001,69.059998,68.209999,68.510002,53.789902,1434200
2014-04-25,68.650002,68.800003,68.360001,68.500000,53.782040,825400
2014-04-28,69.220001,69.790001,68.940002,69.680000,54.708519,2719800
2014-04-29,70.459999,71.379997,70.269997,70.339996,55.226704,2126200
2014-04-30,71.120003,71.400002,70.239998,71.239998,55.933334,3414300
2014-05-01,70.900002,71.000000,70.500000,70.860001,55.634979,1068100
2014-05-02,70.440002,70.820000,70.250000,70.470001,55.328777,3239500
2014-05-05,70.169998,71.050003,70.050003,70.970001,55.721344,673700
2014-05-06,71.080002,71.110001,70.430000,70.620003,55.446545,1051700
